id,name,barcode,department,subcategory,price,on_sale,sale_price,sale_text,unit,is_new,image_file
"1197506","משקה קל אננס בננה ספרינג 1.5 ליטר","7290019056652","משקאות","משקה קל","10.90","לא","0.00","","u","לא","משקה קל אננס בננה ספרינג 1.5 ליטר.jpg"
"1197534","משקה קל אגס סברס תפוח ספרינג 1.5 ליטר","7290019056645","משקאות","משקה קל","11.90","לא","0.00","","u","לא","משקה קל אגס סברס תפוח ספרינג 1.5 ליטר.jpg"
"1197548","משקה קל תות בננה ספרינג 1.5 ליטר","7290019056638","משקאות","משקה קל","11.90","לא","0.00","","u","לא","משקה קל תות בננה ספרינג 1.5 ליטר.jpg"
"1197702","משקה בטעם אבטיח פרוט ווטר 1.5 ליטר","7290019056546","משקאות","מים וסודה בטעמים","10.90","לא","0.00","","u","לא","משקה בטעם אבטיח פרוט ווטר 1.5 ליטר.jpg"
"1197745","משקה מוגז ללא סוכר תפוחים שוופס 1.5 ליטר","7290019056027","משקאות","מים וסודה בטעמים","11.90","לא","0.00","","u","לא","משקה מוגז ללא סוכר תפוחים שוופס 1.5 ליטר.jpg"
"1198131","תפוציפס בטעם שמנת ובצל עלית 50 גרם","7290005200786","חטיפים ודגנים","חטיפי ציפס ותירס","6.00","כן","13.90","3 יח' ב-  13.90 ש""ח","u","לא","תפוציפס בטעם שמנת ובצל עלית 50 גרם.jpg"
"1198173","קליק שוקו מיקס כשר לפסח 65 גרם","7290116531748","חטיפים ודגנים","קליק","9.90","לא","0.00","","u","לא","קליק שוקו מיקס כשר לפסח 65 גרם.jpg"
"1200749","תרכיז עגבניות בשפורפרת מוטי 185 גרם","8005110002243","שימורים ואפייה","שימורי עגבניות","14.90","לא","0.00","","u","לא","תרכיז עגבניות בשפורפרת מוטי 185 גרם.jpg"
"1202009","חלב 2% נטול לקטוז מועשר בויטמין D טרה 1 ליטר","7290114311328","מוצרי חלב וביצים","חלב","10.90","לא","0.00","","u","לא","חלב 2% נטול לקטוז מועשר בויטמין D טרה 1 ליטר.jpg"
"1213860","טורטית עלית 40 גרם","7290106658479","חטיפים ודגנים","חטיפי שוקולד","6.00","כן","14.90","3 יח' ב-  14.90 ש""ח","u","לא","טורטית עלית 40 גרם.jpg"
"1213995","מילקי טריו שוקולד חלב, מריר וקצפת שטראוס 108 גרם","7290110557423","מוצרי חלב וביצים","מעדני חלב","4.50","לא","0.00","","u","לא","מילקי טריו שוקולד חלב, מריר וקצפת שטראוס 108 גרם.jpg"
"1214078","פאנטה פירות יער פחית 355 מ""ל","049000067729","משקאות","משקה מוגז","10.00","לא","0.00","","u","לא","פאנטה פירות יער פחית 355 מל.jpg"
"1214108","חלב טרי בקרטון נטול לקטוז 2% תנובה 1 ליטר","7290116930695","מוצרי חלב וביצים","חלב","10.90","לא","0.00","","u","לא","חלב טרי בקרטון נטול לקטוז 2% תנובה 1 ליטר.jpg"
"1214183","טעמי בייגלה עלית 40 גרם","7290106525504","חטיפים ודגנים","חטיפי שוקולד","6.00","כן","14.90","3 יח' ב-  14.90 ש""ח","u","לא","טעמי בייגלה עלית 40 גרם.jpg"
"1214240","מילקשייק שוקו עם סירופ בטעם שוקולד יטבתה 300 מ""ל","7290110559038","מוצרי חלב וביצים","משקאות חלב","10.00","לא","0.00","","u","לא","מילקשייק שוקו עם סירופ בטעם שוקולד יטבתה 300 מל.jpg"
"1214674","מחית עגבניות לפסטה פומודורו מוטי 700 גרם","80042563","שימורים ואפייה","רוטב לפסטה","17.90","לא","0.00","","u","לא","מחית עגבניות לפסטה פומודורו מוטי 700 גרם.jpg"
"1214689","שקשוקה חריפה רוטב עגבניות חריף ופלפלים יד מרדכי 350 גרם","7290110576837","שימורים ואפייה","שימורי עגבניות","15.90","לא","0.00","","u","לא","שקשוקה חריפה רוטב עגבניות חריף ופלפלים יד מרדכי 350 גרם.jpg"
"1214704","שקשוקה רוטב עגבניות ופלפלים יד מרדכי 350 גרם","7290110554422","שימורים ואפייה","שימורי עגבניות","15.90","לא","0.00","","u","לא","שקשוקה רוטב עגבניות ופלפלים יד מרדכי 350 גרם.jpg"
"1214819","צהובה מגורדת על בסיס חלב 27% ריצ' 500 גרם","7290002281498","מוצרי חלב וביצים","גבינה מגורדת","32.90","לא","0.00","","u","לא","צהובה מגורדת על בסיס חלב 27% ריצ' 500 גרם.jpg"
"1214849","יוגורט עיזים ביו בדלי 2.8% חלב הארץ 750 גרם","7290012645112","מוצרי חלב וביצים","יוגורט","27.90","לא","0.00","","u","לא","יוגורט עיזים ביו בדלי 2.8% חלב הארץ 750 גרם.jpg"
